teams_ordered,champion,champ_points,champ_margin,year
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'CD da CUF Barreiro', 'Os Belenenses', 'Vitória Setúbal', 'Leixões SC', 'Académica de Coimbra', 'Varzim SC', 'Lusitano GC', 'Seixal', 'SC Olhanense', 'FC Barreirense']",SL Benfica,46,6,1963-1964
"['SL Benfica', 'FC Porto', 'CD da CUF Barreiro', 'Académica de Coimbra', 'Sporting CP', 'Vitória Setúbal', 'Vitória Guimarães', 'Os Belenenses', 'Leixões SC', 'Sporting Braga', 'Varzim SC', 'Lusitano GC', 'Seixal', 'União Torreense']",SL Benfica,43,6,1964-1965
"['Sporting CP', 'SL Benfica', 'FC Porto', 'Vitória Guimarães', 'Vitória Setúbal', 'Académica de Coimbra', 'Os Belenenses', 'Varzim SC', 'CD da CUF Barreiro', 'Sporting Braga', 'SC Beira-Mar', 'Leixões SC', 'Lusitano GC', 'FC Barreirense']",Sporting CP,42,1,1965-1966
"['SL Benfica', 'Académica de Coimbra', 'FC Porto', 'Sporting CP', 'Vitória Setúbal', 'Vitória Guimarães', 'Leixões SC', 'CD da CUF Barreiro', 'Sporting Braga', 'Varzim SC', 'Os Belenenses', 'AD Sanjoanense', 'Atlético CP', 'SC Beira-Mar']",SL Benfica,43,3,1966-1967
"['SL Benfica', 'Sporting CP', 'FC Porto', 'Académica de Coimbra', 'Vitória Setúbal', 'Vitória Guimarães', 'Os Belenenses', 'Leixões SC', 'Sporting Braga', 'AD Sanjoanense', 'CD da CUF Barreiro', 'Varzim SC', 'FC Tirsense', 'FC Barreirense']",SL Benfica,41,4,1967-1968
"['SL Benfica', 'FC Porto', 'Vitória Guimarães', 'Vitória Setúbal', 'Sporting CP', 'Académica de Coimbra', 'CD da CUF Barreiro', 'Os Belenenses', 'Varzim SC', 'União Tomar', 'Leixões SC', 'Sporting Braga', 'Atlético CP', 'AD Sanjoanense']",SL Benfica,39,2,1968-1969
"['Sporting CP', 'SL Benfica', 'Vitória Setúbal', 'FC Barreirense', 'Vitória Guimarães', 'Varzim SC', 'Os Belenenses', 'CD da CUF Barreiro', 'FC Porto', 'Académica de Coimbra', 'Leixões SC', 'Boavista', 'Sporting Braga', 'União Tomar']",Sporting CP,46,8,1969-1970
"['SL Benfica', 'Sporting CP', 'FC Porto', 'Vitória Setúbal', 'Académica de Coimbra', 'Boavista', 'Os Belenenses', 'CD da CUF Barreiro', 'FC Tirsense', 'FC Barreirense', 'SC Farense', 'Vitória Guimarães', 'Leixões SC', 'Varzim SC']",SL Benfica,41,3,1970-1971
"['SL Benfica', 'Vitória Setúbal', 'Sporting CP', 'CD da CUF Barreiro', 'FC Porto', 'Vitória Guimarães', 'Os Belenenses', 'FC Barreirense', 'SC Farense', 'Atlético CP', 'Boavista', 'União Tomar', 'SC Beira-Mar', 'Leixões SC', 'Académica de Coimbra', 'FC Tirsense']",SL Benfica,55,10,1971-1972
"['SL Benfica', 'Os Belenenses', 'Vitória Setúbal', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'Boavista', 'CD da CUF Barreiro', 'Leixões SC', 'FC Barreirense', 'SC Farense', 'SC Beira-Mar', 'Montijo', 'União Coimbra', 'Atlético CP', 'União Tomar']",SL Benfica,58,18,1972-1973
"['Sporting CP', 'SL Benfica', 'Vitória Setúbal', 'FC Porto', 'Os Belenenses', 'Vitória Guimarães', 'SC Farense', 'CD da CUF Barreiro', 'Boavista', 'Académica de Coimbra', 'SC Olhanense', 'Oriental de Lisboa', 'SC Beira-Mar', 'Leixões SC', 'FC Barreirense', 'Montijo']",Sporting CP,49,2,1973-1974
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Boavista', 'Vitória Guimarães', 'Os Belenenses', 'Vitória Setúbal', 'CD da CUF Barreiro', 'Leixões SC', 'Atlético CP', 'SC Farense', 'União Tomar', 'Académica de Coimbra', 'Oriental de Lisboa', 'SC Olhanense', 'SC Espinho']",SL Benfica,49,5,1974-1975
"['SL Benfica', 'Boavista', 'Os Belenenses', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'Sporting Braga', 'GD Estoril', 'Vitória Setúbal', 'Atlético CP', 'Académica de Coimbra', 'Leixões SC', 'SC Beira-Mar', 'União Tomar', 'SC Farense', 'CD da CUF Barreiro']",SL Benfica,50,2,1975-1976
"['SL Benfica', 'Sporting CP', 'FC Porto', 'Boavista', 'Académica de Coimbra', 'Vitória Setúbal', 'Varzim SC', 'Sporting Braga', 'Vitória Guimarães', 'Os Belenenses', 'GD Estoril', 'Portimonense SC', 'SC Beira-Mar', 'Montijo', 'Leixões SC', 'Atlético CP']",SL Benfica,51,9,1976-1977
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Sporting Braga', 'Os Belenenses', 'Vitória Guimarães', 'Boavista', 'Académica de Coimbra', 'Vitória Setúbal', 'Varzim SC', 'GD Estoril', 'CS Marítimo', 'Portimonense SC', 'SC Espinho', 'GD Riopele', 'CD Feirense']",FC Porto,51,0,1977-1978
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Sporting Braga', 'Varzim SC', 'Vitória Guimarães', 'Vitória Setúbal', 'Os Belenenses', 'Boavista', 'CS Marítimo', 'GD Estoril', 'SC Beira-Mar', 'FC Famalicão', 'FC Barreirense', 'Académica de Coimbra', 'Académico de Viseu']",FC Porto,50,1,1978-1979
"['Sporting CP', 'FC Porto', 'SL Benfica', 'Boavista', 'Os Belenenses', 'Vitória Guimarães', 'SC Espinho', 'Portimonense SC', 'Sporting Braga', 'Varzim SC', 'CS Marítimo', 'Vitória Setúbal', 'União Leiria', 'GD Estoril', 'SC Beira-Mar', 'Rio Ave FC']",Sporting CP,52,2,1979-1980
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Boavista', 'Vitória Guimarães', 'Sporting Braga', 'Vitória Setúbal', 'Portimonense SC', 'SC Espinho', 'FC Penafiel', 'Os Belenenses', 'Amora FC', 'Académico de Viseu', 'Varzim SC', 'CS Marítimo', 'Académica de Coimbra']",SL Benfica,50,2,1980-1981
"['Sporting CP', 'SL Benfica', 'FC Porto', 'Vitória Guimarães', 'Rio Ave FC', 'Portimonense SC', 'Sporting Braga', 'Vitória Setúbal', 'Boavista', 'SC Espinho', 'Amora FC', 'GD Estoril', 'FC Penafiel', 'Académico de Viseu', 'Os Belenenses', 'União Leiria']",Sporting CP,46,2,1981-1982
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'Boavista', 'Sporting Braga', 'Vitória Setúbal', 'Rio Ave FC', 'Portimonense SC', 'SC Salgueiros', 'GD Estoril', 'Varzim SC', 'SC Espinho', 'CS Marítimo', 'Amora FC', 'GC Alcobaça']",SL Benfica,51,4,1982-1983
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Sporting Braga', 'Vitória Setúbal', 'Vitória Guimarães', 'Boavista', 'Varzim SC', 'Rio Ave FC', 'Portimonense SC', 'SC Salgueiros', 'SC Farense', 'FC Penafiel', 'GD Estoril', 'R.D. Águeda', 'SC Espinho']",SL Benfica,52,3,1983-1984
"['FC Porto', 'Sporting CP', 'SL Benfica', 'Boavista', 'Portimonense SC', 'Os Belenenses', 'Académica de Coimbra', 'Sporting Braga', 'Vitória Guimarães', 'FC Penafiel', 'Vitória Setúbal', 'SC Salgueiros', 'Rio Ave FC', 'SC Farense', 'Varzim SC', 'FC Vizela']",FC Porto,55,8,1984-1985
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Vitória Guimarães', 'Boavista', 'GD Chaves', 'Portimonense SC', 'Os Belenenses', 'Sporting Braga', 'Académica de Coimbra', 'SC Salgueiros', 'CS Marítimo', 'CD Aves', 'Vitória Setúbal', 'FC Penafiel', 'Sporting Covilhã']",FC Porto,49,2,1985-1986
"['SL Benfica', 'FC Porto', 'Vitória Guimarães', 'Sporting CP', 'GD Chaves', 'Os Belenenses', 'Varzim SC', 'Boavista', 'Sporting Braga', 'Académica de Coimbra', 'Portimonense SC', 'CS Marítimo', 'Rio Ave FC', 'SC Salgueiros', 'SC Farense', 'O Elvas']",SL Benfica,49,3,1986-1987
"['FC Porto', 'SL Benfica', 'Os Belenenses', 'Sporting CP', 'Boavista', 'SC Espinho', 'GD Chaves', 'Vitória Setúbal', 'CS Marítimo', 'FC Penafiel', 'Sporting Braga', 'SC Farense', 'Portimonense SC', 'Vitória Guimarães', 'O Elvas', 'Académica de Coimbra', 'Varzim SC', 'Rio Ave FC', 'SC Salgueiros', 'Sporting Covilhã']",FC Porto,66,15,1987-1988
"['SL Benfica', 'FC Porto', 'Boavista', 'Sporting CP', 'Vitória Setúbal', 'Sporting Braga', 'Os Belenenses', 'Estrela Amadora', 'Vitória Guimarães', 'CD Nacional', 'Portimonense SC', 'CS Marítimo', 'GD Chaves', 'FC Penafiel', 'SC Beira-Mar', 'AD Fafe', 'SC Espinho', 'SC Farense', 'Leixões SC', 'Académico de Viseu']",SL Benfica,63,7,1988-1989
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Vitória Guimarães', 'GD Chaves', 'Os Belenenses', 'Vitória Setúbal', 'Boavista', 'FC Tirsense', 'CS Marítimo', 'SC Beira-Mar', 'Sporting Braga', 'Estrela Amadora', 'CD Nacional', 'FC Penafiel', 'União da Madeira', 'Portimonense SC', 'CD Feirense']",FC Porto,59,4,1989-1990
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Boavista', 'SC Salgueiros', 'SC Beira-Mar', 'Sporting Braga', 'GD Chaves', 'Vitória Guimarães', 'CS Marítimo', 'SC Farense', 'União da Madeira', 'Gil Vicente', 'FC Famalicão', 'FC Penafiel', 'FC Tirsense', 'Vitória Setúbal', 'Estrela Amadora', 'Os Belenenses', 'CD Nacional']",SL Benfica,69,2,1990-1991
"['FC Porto', 'SL Benfica', 'Boavista', 'Sporting CP', 'Vitória Guimarães', 'SC Farense', 'CS Marítimo', 'SC Beira-Mar', 'GD Chaves', 'GD Estoril', 'Sporting Braga', 'Paços de Ferreira', 'Gil Vicente', 'FC Famalicão', 'SC Salgueiros', 'União Torreense', 'FC Penafiel', 'União da Madeira']",FC Porto,56,10,1991-1992
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Boavista', 'CS Marítimo', 'SC Farense', 'Os Belenenses', 'SC Beira-Mar', 'Gil Vicente', 'Paços de Ferreira', 'Vitória Guimarães', 'Sporting Braga', 'GD Estoril', 'FC Famalicão', 'SC Salgueiros', 'FC Tirsense', 'SC Espinho', 'GD Chaves']",FC Porto,54,2,1992-1993
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Boavista', 'CS Marítimo', 'Vitória Setúbal', 'Vitória Guimarães', 'SC Farense', 'Estrela Amadora', 'Gil Vicente', 'SC Salgueiros', 'União da Madeira', 'Os Belenenses', 'SC Beira-Mar', 'Sporting Braga', 'Paços de Ferreira', 'FC Famalicão', 'GD Estoril']",SL Benfica,54,2,1993-1994
"['FC Porto', 'Sporting CP', 'SL Benfica', 'Vitória Guimarães', 'SC Farense', 'União Leiria', 'CS Marítimo', 'FC Tirsense', 'Boavista', 'Sporting Braga', 'SC Salgueiros', 'Os Belenenses', 'Gil Vicente', 'GD Chaves', 'Estrela Amadora', 'União da Madeira', 'SC Beira-Mar', 'Vitória Setúbal']",FC Porto,62,7,1994-1995
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Boavista', 'Vitória Guimarães', 'Os Belenenses', 'União Leiria', 'Sporting Braga', 'CS Marítimo', 'SC Farense', 'SC Salgueiros', 'Gil Vicente', 'Estrela Amadora', 'GD Chaves', 'Leça FC', 'FC Felgueiras 1932', 'Campomaiorense', 'FC Tirsense']",FC Porto,84,11,1995-1996
"['FC Porto', 'Sporting CP', 'SL Benfica', 'Sporting Braga', 'Vitória Guimarães', 'SC Salgueiros', 'Boavista', 'CS Marítimo', 'Estrela Amadora', 'GD Chaves', 'SC Farense', 'Vitória Setúbal', 'Os Belenenses', 'Leça FC', 'Rio Ave FC', 'SC Espinho', 'União Leiria', 'Gil Vicente']",FC Porto,85,13,1996-1997
"['FC Porto', 'SL Benfica', 'Vitória Guimarães', 'Sporting CP', 'CS Marítimo', 'Boavista', 'Estrela Amadora', 'SC Salgueiros', 'Rio Ave FC', 'Sporting Braga', 'Campomaiorense', 'Leça FC', 'Vitória Setúbal', 'SC Farense', 'Académica de Coimbra', 'GD Chaves', 'Varzim SC', 'Os Belenenses']",FC Porto,77,9,1997-1998
"['FC Porto', 'Boavista', 'SL Benfica', 'Sporting CP', 'Vitória Setúbal', 'União Leiria', 'Vitória Guimarães', 'Estrela Amadora', 'Sporting Braga', 'CS Marítimo', 'SC Farense', 'SC Salgueiros', 'Campomaiorense', 'FC Alverca', 'Rio Ave FC', 'SC Beira-Mar', 'GD Chaves', 'Académica de Coimbra']",FC Porto,79,8,1998-1999
"['Sporting CP', 'FC Porto', 'SL Benfica', 'Boavista', 'Gil Vicente', 'CS Marítimo', 'Vitória Guimarães', 'Estrela Amadora', 'Sporting Braga', 'União Leiria', 'FC Alverca', 'Os Belenenses', 'Campomaiorense', 'SC Farense', 'SC Salgueiros', 'Vitória Setúbal', 'Rio Ave FC', 'CD Santa Clara']",Sporting CP,77,4,1999-2000
"['Boavista', 'FC Porto', 'Sporting CP', 'Sporting Braga', 'União Leiria', 'SL Benfica', 'Os Belenenses', 'SC Beira-Mar', 'Paços de Ferreira', 'SC Salgueiros', 'CS Marítimo', 'FC Alverca', 'SC Farense', 'Gil Vicente', 'Vitória Guimarães', 'Campomaiorense', 'CD Aves', 'Estrela Amadora']",Boavista,77,1,2000-2001
"['Sporting CP', 'Boavista', 'FC Porto', 'SL Benfica', 'Os Belenenses', 'CS Marítimo', 'União Leiria', 'Paços de Ferreira', 'Sporting Braga', 'Vitória Guimarães', 'SC Beira-Mar', 'Gil Vicente', 'Vitória Setúbal', 'CD Santa Clara', 'Varzim SC', 'SC Salgueiros', 'SC Farense', 'FC Alverca']",Sporting CP,75,5,2001-2002
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Vitória Guimarães', 'União Leiria', 'Paços de Ferreira', 'CS Marítimo', 'Gil Vicente', 'Os Belenenses', 'Boavista', 'CD Nacional', 'Moreirense FC', 'SC Beira-Mar', 'Sporting Braga', 'Académica de Coimbra', 'Varzim SC', 'CD Santa Clara', 'Vitória Setúbal']",FC Porto,86,11,2002-2003
"['FC Porto', 'SL Benfica', 'Sporting CP', 'CD Nacional', 'Sporting Braga', 'Rio Ave FC', 'CS Marítimo', 'Boavista', 'Moreirense FC', 'União Leiria', 'SC Beira-Mar', 'Gil Vicente', 'Académica de Coimbra', 'Vitória Guimarães', 'FC Alverca', 'Os Belenenses', 'Paços de Ferreira', 'Estrela Amadora']",FC Porto,82,8,2003-2004
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Sporting Braga', 'Vitória Guimarães', 'Boavista', 'CS Marítimo', 'Rio Ave FC', 'Os Belenenses', 'Vitória Setúbal', 'FC Penafiel', 'CD Nacional', 'Gil Vicente', 'União Leiria', 'Académica de Coimbra', 'Moreirense FC', 'GD Estoril', 'SC Beira-Mar']",SL Benfica,65,3,2004-2005
"['FC Porto', 'Sporting CP', 'SL Benfica', 'Sporting Braga', 'CD Nacional', 'Boavista', 'União Leiria', 'Vitória Setúbal', 'Estrela Amadora', 'CS Marítimo', 'Paços de Ferreira', 'Gil Vicente', 'Académica de Coimbra', 'Naval 1° de Maio', 'Os Belenenses', 'Vitória Guimarães', 'Rio Ave FC', 'FC Penafiel']",FC Porto,79,7,2005-2006
"['FC Porto', 'Sporting CP', 'SL Benfica', 'Sporting Braga', 'Os Belenenses', 'Paços de Ferreira', 'União Leiria', 'CD Nacional', 'Boavista', 'Estrela Amadora', 'Naval 1° de Maio', 'CS Marítimo', 'Académica de Coimbra', 'Vitória Setúbal', 'SC Beira-Mar', 'CD Aves']",FC Porto,69,1,2006-2007
"['FC Porto', 'Sporting CP', 'Vitória Guimarães', 'SL Benfica', 'CS Marítimo', 'Vitória Setúbal', 'Sporting Braga', 'Os Belenenses', 'Boavista', 'CD Nacional', 'Naval 1° de Maio', 'Académica de Coimbra', 'Estrela Amadora', 'Leixões SC', 'Paços de Ferreira', 'União Leiria']",FC Porto,69,14,2007-2008
"['FC Porto', 'Sporting CP', 'SL Benfica', 'CD Nacional', 'Sporting Braga', 'Leixões SC', 'Académica de Coimbra', 'Vitória Guimarães', 'CS Marítimo', 'Paços de Ferreira', 'Estrela Amadora', 'Rio Ave FC', 'Naval 1° de Maio', 'Vitória Setúbal', 'Os Belenenses', 'CD Trofense']",FC Porto,70,4,2008-2009
"['SL Benfica', 'Sporting Braga', 'FC Porto', 'Sporting CP', 'CS Marítimo', 'Vitória Guimarães', 'CD Nacional', 'Naval 1° de Maio', 'União Leiria', 'Paços de Ferreira', 'Académica de Coimbra', 'Rio Ave FC', 'SC Olhanense', 'Vitória Setúbal', 'Os Belenenses', 'Leixões SC']",SL Benfica,76,5,2009-2010
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Sporting Braga', 'Vitória Guimarães', 'CD Nacional', 'Paços de Ferreira', 'Rio Ave FC', 'CS Marítimo', 'União Leiria', 'SC Olhanense', 'Vitória Setúbal', 'SC Beira-Mar', 'Académica de Coimbra', 'Portimonense SC', 'Naval 1° de Maio']",FC Porto,84,21,2010-2011
"['FC Porto', 'SL Benfica', 'Sporting Braga', 'Sporting CP', 'CS Marítimo', 'Vitória Guimarães', 'CD Nacional', 'SC Olhanense', 'Gil Vicente', 'Paços de Ferreira', 'Vitória Setúbal', 'SC Beira-Mar', 'Académica de Coimbra', 'Rio Ave FC', 'CD Feirense', 'União Leiria']",FC Porto,75,6,2011-2012
"['FC Porto', 'SL Benfica', 'Paços de Ferreira', 'Sporting Braga', 'GD Estoril', 'Rio Ave FC', 'Sporting CP', 'CD Nacional', 'Vitória Guimarães', 'CS Marítimo', 'Académica de Coimbra', 'Vitória Setúbal', 'Gil Vicente', 'SC Olhanense', 'Moreirense FC', 'SC Beira-Mar']",FC Porto,78,1,2012-2013
"['SL Benfica', 'Sporting CP', 'FC Porto', 'GD Estoril', 'CD Nacional', 'CS Marítimo', 'Vitória Setúbal', 'Académica de Coimbra', 'Sporting Braga', 'Vitória Guimarães', 'Rio Ave FC', 'FC Arouca', 'Gil Vicente', 'Os Belenenses', 'Paços de Ferreira', 'SC Olhanense']",SL Benfica,74,7,2013-2014
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Sporting Braga', 'Vitória Guimarães', 'Os Belenenses', 'CD Nacional', 'Paços de Ferreira', 'CS Marítimo', 'Rio Ave FC', 'Moreirense FC', 'GD Estoril', 'Boavista', 'Académica de Coimbra', 'Vitória Setúbal', 'FC Arouca', 'Gil Vicente', 'FC Penafiel']",SL Benfica,85,3,2014-2015
"['SL Benfica', 'Sporting CP', 'FC Porto', 'Sporting Braga', 'FC Arouca', 'Rio Ave FC', 'Paços de Ferreira', 'GD Estoril', 'Os Belenenses', 'Vitória Guimarães', 'CD Nacional', 'Moreirense FC', 'CS Marítimo', 'Boavista', 'CD Tondela', 'Vitória Setúbal', 'União da Madeira', 'Académica de Coimbra']",SL Benfica,88,2,2015-2016
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Vitória Guimarães', 'Sporting Braga', 'CS Marítimo', 'Rio Ave FC', 'CD Feirense', 'Boavista', 'GD Estoril', 'GD Chaves', 'Vitória Setúbal', 'Paços de Ferreira', 'Os Belenenses', 'Moreirense FC', 'CD Tondela', 'FC Arouca', 'CD Nacional']",SL Benfica,82,6,2016-2017
"['FC Porto', 'SL Benfica', 'Sporting CP', 'Sporting Braga', 'Rio Ave FC', 'GD Chaves', 'CS Marítimo', 'Boavista', 'Vitória Guimarães', 'Portimonense SC', 'CD Tondela', 'Os Belenenses', 'CD Aves', 'Vitória Setúbal', 'Moreirense FC', 'CD Feirense', 'Paços de Ferreira', 'GD Estoril']",FC Porto,88,7,2017-2018
"['SL Benfica', 'FC Porto', 'Sporting CP', 'Sporting Braga', 'Vitória Guimarães', 'Moreirense FC', 'Rio Ave FC', 'Boavista', 'Belenenses SAD', 'CD Santa Clara', 'Portimonense SC', 'CS Marítimo', 'Vitória Setúbal', 'CD Aves', 'CD Tondela', 'GD Chaves', 'CD Nacional', 'CD Feirense']",SL Benfica,87,2,2018-2019
"['FC Porto', 'SL Benfica', 'Sporting Braga', 'Sporting CP', 'Rio Ave FC', 'FC Famalicão', 'Vitória Guimarães', 'Moreirense FC', 'CD Santa Clara', 'Gil Vicente', 'CS Marítimo', 'Boavista', 'Paços de Ferreira', 'CD Tondela', 'Belenenses SAD', 'Vitória Setúbal', 'Portimonense SC', 'CD Aves']",FC Porto,82,5,2019-2020
"['Sporting CP', 'FC Porto', 'SL Benfica', 'Sporting Braga', 'Paços de Ferreira', 'CD Santa Clara', 'Vitória Guimarães', 'Moreirense FC', 'FC Famalicão', 'Belenenses SAD', 'Gil Vicente', 'CD Tondela', 'Boavista', 'Portimonense SC', 'CS Marítimo', 'Rio Ave FC', 'SC Farense', 'CD Nacional']",Sporting CP,85,5,2020-2021
"['FC Porto', 'Sporting CP', 'SL Benfica', 'Sporting Braga', 'Gil Vicente', 'Vitória Guimarães', 'CD Santa Clara', 'FC Famalicão', 'GD Estoril', 'CS Marítimo', 'Paços de Ferreira', 'Boavista', 'Portimonense SC', 'FC Vizela', 'FC Arouca', 'Moreirense FC', 'CD Tondela', 'Belenenses SAD']",FC Porto,91,6,2021-2022
"['SL Benfica', 'FC Porto', 'Sporting Braga', 'Sporting CP', 'FC Arouca', 'Vitória Guimarães', 'GD Chaves', 'FC Famalicão', 'Boavista', 'Casa Pia AC', 'FC Vizela', 'Rio Ave FC', 'Gil Vicente', 'GD Estoril', 'Portimonense SC', 'CS Marítimo', 'Paços de Ferreira', 'CD Santa Clara']",SL Benfica,87,2,2022-2023
